Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
Acts Of Violence,"""Mia, la fiancée de Roman MacGregor est enlevée par des trafiquants d’êtres humains. Dès lors, Roman et ses frères Brandon et Deklan n’ont qu’une idée en tête : la retrouver saine et sauve. Ils sont aidés dans leur quête par Avery, le policier en charge de l’affaire.""","24 avril 2018
","
1h 32min
","
Action","
Brett Donowho","""
Bruce Willis,
Shawn Ashmore,
Mike Epps""",--,"""2,1"""
Suicide Squad,"""C'est tellement jouissif d'être un salopard ! Face à une menace aussi énigmatique qu'invincible, l'agent secret Amanda Waller réunit une armada de crapules de la pire espèce. Armés jusqu'aux dents par le gouvernement, ces Super-Méchants s'embarquent alors pour une mission-suicide...""","3 août 2016
","
2h 03min
","""
Action,
Fantastique""","
David Ayer","""
Margot Robbie,
Will Smith,
Jared Leto""",--,"""3,0"""
Ensorcelée par Noël,"""Un vœu contraint June, une jeune femme obsédée par sa carrière d’éditrice de livres pour enfants, à accepter toutes les invitations lors de son séjour chez ses parents pour les fêtes. Mais les sentiments du passé sont ravivés quand un ancien amour de jeunesse, Blake, se joint au programme des festivités.""","9 novembre 2022
","
1h 30min
","
Romance","
Graeme Campbell","""
Erika Prevost,
Romaine Waite,
Zoe Doyle""","""3,4""","""3,5"""
Pacific Rim,"""Lorsque des légions de monstreuses créatures extraterrestres surgirent des océans, une terrible guerre débuta. Pour les combattre, les hommes créèrent des robots géants, les Jaegers. Mais meme ces terribles Jaegers ne pouvaient vaincre ces créatures. Alors que la défaite est proche, l'humanité doit désormais se reposer sur deux héros improbables, qui décident de faire revivre un vieux Jaegers. C'est l'ultime espoir face à l'apocalypse...""","17 juillet 2013
","
2h 10min
","""
Action,
Aventure""","
Guillermo del Toro","""
Charlie Hunnam,
Idris Elba,
 Rinko Kikuchi""","""4,6""","""3,8"""
Les Nerfs à vif,"""Max Cady, condamné à quatorze années de prison pour viol et voie de fait sur une mineure, est à nouveau libre. Avec détermination et rigueur, il entreprend de se venger de l'avocat Sam Bowden, qu'il estime responsable de son incarcération.""","18 mars 1992
","
2h 08min
","""
Judiciaire,
Thriller""","
Martin Scorsese","""
Robert De Niro,
Nick Nolte,
 Jessica Lange""","""3,0""","""4,3"""
Capharnaüm,"""À l'intérieur d'un tribunal, Zain, un garçon de 12 ans, est présenté devant le juge. À la question : "" Pourquoi attaquez-vous vos parents en justice ? "", Zain lui répond : "" Pour m'avoir donné la vie ! "". Capharnaüm retrace l'incroyable parcours de cet enfant en quête d'identité et qui se rebelle contre la vie qu'on cherche à lui imposer.""","17 octobre 2018
","
2h 00min
","
Drame","
Nadine Labaki","""
Zain Al Rafeea,
Cedra Izam,
Nadine Labaki""","""3,5""",--
Section 99,"""Lorsque Bradley, un ancien boxeur, perd son emploi de mécanicien, son mariage s’effondre en même temps. Il décide alors de devenir l’homme de main d’un trafiquant de drogue afin d’assurer une vie confortable à sa femme Lauren.""","25 septembre 2018
","
2h 12min
","""
Drame,
Thriller""","
S. Craig Zahler","""
Vince Vaughn,
Don Johnson,
Jennifer Carpenter""",--,"""3,5"""
La Soupe aux choux,"""Le Glaude et le Bombé, deux vieux paysans portés sur la bouteille, vivent retirés de la vie moderne. Une nuit, un extra-terrestre atterrit en soucoupe volante dans le jardin du Glaude. En gage de bienvenue, ce dernier lui offre un peu de sa fameuse soupe aux choux...""","2 décembre 1981
","
1h 38min
","""
Comédie,
Science Fiction""","
Jean Girault","""
Louis de Funès,
Jean Carmet,
Claude Gensac""",--,"""3,1"""
Happiness Therapy,"""Tout juste sorti d'un hôpital psychiatrique, après 8 mois d'internement, Pat, ancien professeur d'histoire au lycée, tente de renouer des liens avec son ex-femme.""","30 janvier 2013
","
2h 02min
","
Comédie dramatique","
David O. Russell","""
Bradley Cooper,
Jennifer Lawrence,
Robert De Niro""",--,"""3,3"""
La Conspiration des belettes,"""Quatre vieux amis : un réalisateur, un scénariste, une actrice et son mari partagent une grande maison à la campagne. Ils mènent une vie paisible jusqu’à l’arrivée d'un jeune couple d’agents immobiliers sans scrupules prêt à tout pour récupérer la propriété.""","21 juillet 2021
","
2h 09min
","""
Comédie,
Drame""","
Juan José Campanella","""
Graciela Borges,
Oscar Martinez,
Luis Brandoni""",--,"""2,5"""
Innocents - The Dreamers,"""En plein Mai 68, Isabelle et son frère Théo, restés seuls à Paris pendant les vacances de leurs parents, invitent chez eux Matthew, un étudiant américain. Livrés à eux-mêmes, ils vont explorer leur identité émotionnelle et sexuelle.""","10 décembre 2003
","
1h 56min
","""
Drame,
Erotique""","
Bernardo Bertolucci","""
Michael Pitt,
Eva Green,
Louis Garrel""",--,0
Phénomènes,Une famille essaie de fuir un désastre naturel qui devient rapidement la plus grande menace de l'humanité.,"11 juin 2008
","
1h 31min
","""
Science Fiction,
Thriller""","
M. Night Shyamalan","""
Mark Wahlberg,
Zooey Deschanel,
John Leguizamo""",0,0
Oblivion,"""Sur une planète Terre devenue méconnaissable, la confrontation d’un homme avec son passé va le mener sur le chemin de la rédemption et de la découverte alors qu’il se bat pour sauver l’humanité de sa perte.""","10 avril 2013
","
2h 06min
","""
Action,
Science Fiction""","
Joseph Kosinski","""
Tom Cruise,
Olga Kurylenko,
Morgan Freeman""","""2,9""","""3,6"""
Un Noël d'enfer,"""Hugo, un avocat new-yorkais, et sa meilleure amie, Madelyn, se rendent à Milwaukee pour les fêtes de Noël chez la mère d'Hugo, Kate. Cette dernière présente Patrick, l'ami de lycée et le coup de foudre secret d'Hugo à son fils. Tandis que les deux hommes se rapprochent, Hugo apprend qu'une grosse promotion l'oblige à déménager à Londres...""","9 novembre 2021
","
1h 25min
","
Romance","
Pat Mills","""
Ben Lewis (XI),
Blake Lee,
Fran Drescher""","""3,0""",--
Deadpool,"""À l'origine, il s'appelle Wade Wilson : un ancien militaire des Forces Spéciales devenu mercenaire. Après avoir subi une expérimentation hors norme qui va accélérer ses pouvoirs de guérison, il va devenir Deadpool. Armé de ses nouvelles capacités et d'un humour noir survolté, Deadpool va traquer l'homme qui a bien failli anéantir sa vie.""","10 février 2016
","
1h 48min
","""
Action,
Comédie,
Fantastique""","
Tim Miller","""
Ryan Reynolds,
Morena Baccarin,
Ed Skrein""","""4,0""",--
Du sang et des larmes,"""Le 28 juin 2005, un commando de quatre Navy Seals prend part à l’opération ""Red Wing"", qui a pour but de localiser et éliminer le leader taliban Ahmad Shah. Mais rapidement repérés et encerclés, les quatre soldats vont se retrouver pris au piège.""","1 janvier 2014
","
2h 02min
","""
Action,
Drame,
Guerre""","
Peter Berg","""
Mark Wahlberg,

Taylor Kitsch,
Emile Hirsch""","""4,2""",--
Dallas Buyers Club,"""L'histoire vraie de Ron Woodroof, un électricien qui a été diagnostiqué séropositif en 1986 et dont l'espérance de vie ne devait pas dépasser 6 mois.""","29 janvier 2014
","
1h 57min
","""
Biopic,
Drame""","
Jean-Marc Vallée","""
Matthew McConaughey,
Jennifer Garner,

Jared Leto""","""4,3""",--
Le Tableau,"""Dans un Tableau abandonné par son Peintre, vivent trois sortes de personnages : les Toupins qui sont entièrement peints, les Pafinis auxquels il manque quelques couleurs et les Reufs qui ne sont que des esquisses. S'estimant supérieurs, les Toupins ont pris le pouvoir...""","23 novembre 2011
","
1h 16min
","
Animation","
Jean-François Laguionie","""
Jessica Monceau,
Adrien Larmande,
Thierry Jahn""","""4,0""",--
Maestro,"""Henri, un jeune acteur qui rêve de jouer dans ""Fast and Furious"", se retrouve engagé dans le film de Cédric Rovère, monstre sacré du cinéma d’auteur. Henri sort transformé de cette expérience insolite, enfin prêt pour l’amour.""","23 juillet 2014
","
1h 25min
","
Comédie dramatique","
Léa Fazer","""
Pio Marmaï,
Michael Lonsdale,

Déborah François""","""3,9""",--
Family,"""Cinq portraits de famille, cinq équilibres bouleversés. Série d'anthologie au travers de laquelle sont abordés avec beaucoup de justesse des thématiques fortes comme le deuil, la toxicité familiale, l'absence de communication parents/ enfants ou encore la fausse couche et le divorce.""","18 novembre 2022
","
0h 50min
","
Drame","
Jean-Baptiste Delannoy","""
Maud Bettina-Marie,
Marie-Christine Adam,
 Rufus""",--,"""3,4"""
