Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
Comedy Queen,"Dans la vie, il y a deux catégories de personnes : celles qui sont naturellement drôles et celles qui peuvent apprendre à le devenir... Sasha, 13 ans, appartient à la deuxième catégorie. Pour ne surtout pas ressembler à sa mère qui était toujours triste, elle décide de devenir une reine du stand-up et de faire à nouveau rire son père !","2 novembre 2022
","
1h 33min
","
Comédie,
Drame","
Sanna Lenken","
Sigrid Johnson,
Oscar Töringe,
Anna Bjelkerud",--,"2,4"
Code Emperor,"L'action se déroulera dans le monde des gens au pouvoir. Information et désinformation, vérité et tromperie, bien et mal... Ces termes se chevauchent parfois, s'entremêlent et coexistent à tel point que leurs frontières commencent à s'estomper.","14 novembre 2022
","
1h 46min
","
Action,
Policier,
Thriller","
Jorge Coira","
Luis Tosar,
Alexandra Masangkay,
Georgina Amorós","3,7",--
Autour de minuit,"Le retour a Paris d'un célèbre saxo-tenor, Dale Turner. Mine par l'alcool et la solitude, il retrouve l'inspiration grâce à l'un de ses fans.","18 septembre 1986
","
2h 13min
","
Comédie dramatique,
Musical","
Bertrand Tavernier","
Lonette McKee,
François Cluzet,
Dexter Gordon",--,"4,0"
Ce ne sera pas notre dernier Noël,Un couple au bord de la rupture part en vacances avec ses 3 enfants dans leur maison de famille. Ils ont décidé de divorcer après Noël sans prévenir leurs enfants pour ne pas gâcher la fête. Mais ces derniers découvrent leur projet et décident d’enfermer leurs parents tant qu’ils ne se sont pas réconciliés.,"23 novembre 2022
","
1h 41min
","
Comédie,
Musical","
Juan Manuel Cotelo","
Carlos Aguillo,
Teresa Ferrer,
Mamen García",--,"2,8"
L'Arnacoeur,"Votre fille sort avec un sale type ? Votre soeur s'est enlisée dans une relation passionnelle destructrice ? Aujourd'hui, il existe une solution radicale, elle s'appelle Alex. Son métier : briseur de couple professionnel. Sa méthode : la séduction.","17 mars 2010
","
1h 45min
","
Comédie,
Romance","
Pascal Chaumeil","
Romain Duris,
Vanessa Paradis,
Julie Ferrier",--,"3,1"
Coup de théâtre,"Dans le West End des années 50 à Londres, la préparation de l’adaptation cinématographique d’une pièce à succès est brutalement interrompue par le meurtre de son réalisateur hollywoodien. L’inspecteur Stoppard et l’agent Stalker vont tenter d’élucider ce crime...","14 septembre 2022
","
1h 38min
","
Comédie,
Policier","
Tom George","
Sam Rockwell,
 Saoirse Ronan,
Adrien Brody",--,
Le Chat Potté,"Avant sa rencontre avec Shrek, le Chat Potté a eu une jeunesse pleine de surprises... Découvrez l'histoire du plus félin des aventuriers. Miaou!","30 novembre 2011
","
1h 30min
","
Aventure,
Animation,
Comédie","
Chris Miller (LX)","
Boris Rehlinger,
Antonio Banderas,
Virginie Efira",,
Sword Art Online - Progressive - Aria of a Starless Night,"Notre histoire se passe longtemps avant que l'Éclair et l'Épéiste noir ne soient connus sous ces noms-là... Le jour où elle enfile le Nerve Gear, Yûki Asuna n'est qu'une élève de troisième, au collège, qui n'a jamais touché à un jeu en ligne de sa vie.","6 janvier 2022
","
1h 38min
","
Action,
Animation,

Science Fiction","
Ayoko Kôno","
Yoshitsugu Matsuoka,
Haruka Tomatsu","3,5",--
Doctor Strange in the Multiverse of Madness,"L'univers cinématographique Marvel déverrouille et repousse les limites du multivers encore plus loin. Voyagez dans l’inconnu avec Doctor Strange, qui avec l’aide d’anciens et de nouveaux alliés mystiques, traverse les réalités hallucinantes et dangereuses du multivers pour affronter un nouvel adversaire mystérieux.","4 mai 2022
","
2h 06min
","
Action,
Aventure,
Fantastique","
Sam Raimi","
Benedict Cumberbatch,
Elizabeth Olsen,

Chiwetel Ejiofor","3,6",--
Drunk,"Quatre amis décident de mettre en pratique la théorie d’un psychologue norvégien selon laquelle l’homme aurait dès la naissance un déficit d’alcool dans le sang. Avec une rigueur scientifique, chacun relève le défi en espérant tous que leur vie n’en sera que meilleure ! Si dans un premier temps les résultats sont encourageants, la situation devient rapidement hors de contrôle.","14 octobre 2020
","
1h 57min
","
Comédie,
Drame","
Thomas Vinterberg","
Mads Mikkelsen,
Thomas Bo Larsen,
Magnus Millang","4,1",--
Un homme d'action,"Librement inspiré de la vie de Lucio Urtubia, Un homme d'action revient sur l'histoire de l'anarchiste espagnol et de son opération de faux-monnayage légendaire à Paris. Après avoir réussi à récupérer une importante somme d'argent en falsifiant des chèques de voyage, il s'est retrouvé dans le collimateur de la plus grande banque américaine.","30 novembre 2022
","
1h 51min
","
Biopic,
Drame","
Javier Ruiz Caldera","
Juan José Ballesta,

Luis Callejo,
Liah O'Prey",--,"2,5"
Qu'est-ce qu'on a tous fait au Bon Dieu ?,"Ce sont bientôt les 40 ans de mariage de Claude et Marie Verneuil. Pour cette occasion, leurs quatre filles décident d’organiser une grande fête surprise dans la maison familiale de Chinon et d’y inviter les parents de chacun des gendres, pour quelques jours.","6 avril 2022
","
1h 38min
","
Comédie,
Famille","
Philippe de Chauveron","
Christian Clavier,
Chantal Lauby,
Ary Abittan",--,"2,0"
Le Flic de Belleville,"Baaba est flic à Belleville, quartier qu’il n’a jamais quitté, au grand désespoir de sa copine qui le tanne pour enfin vivre avec lui, ailleurs, et loin de sa mère. Un soir, Roland, son ami d’enfance, est assassiné sous ses yeux.","17 octobre 2018
","

1h 51min
","
Action,
Comédie","
Rachid Bouchareb","
Omar Sy,
Luis Guzmán,
 Biyouna",--,"3,6"
Prey,"Il y a trois siècles sur le territoire des Comanches, Naru, une farouche et brillante guerrière, se fait désormais un devoir de protéger sa tribu dès qu’un danger la menace. Elle découvre que la proie qu’elle traque en ce moment n’est autre qu’un prédateur extraterrestre particulièrement évolué doté d’un arsenal de pointe des plus sophistiqués. Une confrontation aussi perverse que terrifiante s’engage bientôt entre les deux adversaires...","5 août 2022
","
1h 39min
","
Action,
Science Fiction","
Dan Trachtenberg","
Amber Midthunder,
Dakota Beavers,
Dane DiLiegro",--,"3,4"
